DATE,Leader,Manager,RM_Username,Client_Name,Client_ID,Brokerage_Equity,Brokerage_MF
01-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
01-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
01-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
01-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
01-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
01-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
01-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
01-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
01-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
01-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
02-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
02-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
02-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
02-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
02-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
02-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
02-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
02-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
02-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
03-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
03-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
03-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
03-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,600
03-01-2025,leader,manager2,rm3,Epsilon Co,CID005,9500,3100
03-01-2025,leader,manager2,rm4,Zeta Partners,CID006,2100,550
03-01-2025,leader,manager1,rm1,Theta Solutions,CID007,3400,800
03-01-2025,leader,manager1,rm2,Iota Systems,CID008,4200,1200
03-01-2025,leader,manager2,rm3,Kappa Advisors,CID009,2600,650
03-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
03-01-2025,leader,manager1,rm1,Alpha Corp,CID001,7100,800
03-01-2025,leader,manager1,rm1,Beta Ltd,CID002,1500,1200
03-01-2025,leader,manager1,rm2,Gamma Inc,CID003,1800,650
03-01-2025,leader,manager2,rm3,Delta Group,CID004,1500,3100
04-01-2025,leader,manager2,rm3,Epsilon Co,CID005,5000,550
04-01-2025,leader,manager2,rm4,Zeta Partners,CID006,3200,800
04-01-2025,leader,manager1,rm1,Theta Solutions,CID007,7100,1200
04-01-2025,leader,manager1,rm2,Iota Systems,CID008,1500,1200
04-01-2025,leader,manager2,rm4,Lambda Holdings,CID010,1800,300
04-01-2025,leader,manager1,rm1,Alpha Corp,CID001,5000,1200.5
04-01-2025,leader,manager1,rm1,Beta Ltd,CID002,3200,900
04-01-2025,leader,manager1,rm2,Gamma Inc,CID003,7100,2500.25
